127.0.0.1 - - [26/Nov/2019:11:49:28 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:28 +0530] "GET /OnlineShopping3/Login.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "POST /OnlineShopping3/CustomerContoller HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/ProductDatabaseController HTTP/1.1" 200 10028
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/templatemo_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_image_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_ads.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_menu_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_h1_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_btn_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:35 +0530] "GET /OnlineShopping3/images/templatemo_btn_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:49 +0530] "GET /OnlineShopping3/ProductDatabaseController?action=addToCart&productId=101 HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [26/Nov/2019:11:49:56 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:03:00 +0530] "GET /OnlineShopping3/CheckOutController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:03:08 +0530] "GET /OnlineShopping3/ProductDatabaseController HTTP/1.1" 200 10028
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:03:10 +0530] "GET /OnlineShopping3/ProductDatabaseController?action=addToCart&productId=101 HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:03:14 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:08:19 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:08:24 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:09:56 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:10:01 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:10:07 +0530] "GET /OnlineShopping3/ProductDatabaseController?action=addToCart&productId=101 HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:10:10 +0530] "GET /OnlineShopping3/ProductDatabaseController?action=addToCart&productId=101 HTTP/1.1" 200 7233
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:10:13 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:10:41 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:11:24 +0530] "GET /OnlineShopping3/CheckOutController HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:11:30 +0530] "GET /OnlineShopping3/ProductDatabaseController?action=addToCart&productId=101 HTTP/1.1" 200 6461
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:11:34 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:13:41 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 6810
0:0:0:0:0:0:0:1 - - [26/Nov/2019:12:14:35 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 7574
0:0:0:0:0:0:0:1 - - [26/Nov/2019:14:14:42 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 7911
0:0:0:0:0:0:0:1 - - [26/Nov/2019:14:15:04 +0530] "POST /OnlineShopping3/CheckOutController HTTP/1.1" 200 7576
